id,phase,surface,state,viewport_css,locale,metric,value,unit,status,evidence,note
B-01,0.3,repo,go test ./...,-, -,tests,0,failures,verifie,logs/baseline-GO.log,cached and fresh packages; exit 0; CGO_ENABLED=0
B-02,0.3,repo,go test ./...,-, -,duration,19.3,s,verifie,logs/baseline-GO.log,23:15:56 to 23:16:15
B-03,0.3,web,node scripts/contrast.mjs,-,-,documented ratios confirmed,11,of 11,verifie,logs/baseline-WEB.log,all tokens match the documented ratios
B-04,0.3,web,node web/scripts/check-locales.mjs,-,-,values compared,684,values,verifie,logs/baseline-WEB.log,54 functions; fr and en match
B-05,0.3,web,npm --prefix web run check,-,-,errors,0,count,verifie,logs/baseline-WEB.log,svelte-check 0 errors 0 warnings
B-06,0.3,server,.\build.ps1,-,-,exit,0,code,verifie,logs/baseline-WEB.log,theia-server.exe built and embedded web-dist written
B-07,0.3,osd,npm --prefix player/ui run check:i18n,-,-,keys compared,33,keys,verifie,logs/baseline-OSD.log,osd locales agree (fr 33, en 33)
B-08,0.3,osd,npm --prefix player/ui run build,-,-,exit,0,code,verifie,logs/baseline-OSD.log,113 modules; CSS 10741 bytes; JS 57890 bytes
B-09,0.3,player,.\build-player.ps1,-,-,exit,0,code,verifie,logs/baseline-NATIVE.log,debug build 48.67s; 14.7 MB
B-10,0.3,player,cargo test,-,-,passed,6,of 6,verifie,logs/baseline-NATIVE.log,4.50s
B-11,0.3,web,npm --prefix web test (layout),375/1280/1920,-,passed,81,of 84,verifie,logs/baseline-LAYOUT.log,3 skipped; 27.3s; default port 8396
B-12,0.3,osd,npm --prefix player/ui run check:render,550/1280/390,-,exit,0,code,verifie,logs/baseline-OSD-RENDER.log,7 pictures written to before/osd
B-13,0.3,setup,go build ./cmd/theia-setup,-,-,size,12970496,bytes,verifie,logs/baseline-SETUP.log,built into the run directory
B-14,0.3,setup,scripts/capture-tui.ps1 100x30,-,exit,0,code,verifie,logs/baseline-SETUP.log,probe read the buffer and reported three colours
B-15,0.3,native,scripts/capture-window.ps1,-,-,exit,0,code,verifie,logs/baseline-NATIVE-CAPTURE.log,pid 36040; window 1100x700 real
B-16,0.3,native,scripts/capture-window.ps1,-,-,DPI,192,dpi,verifie,logs/baseline-NATIVE-CAPTURE.log,200% scaling; 1100 real = 550 CSS
B-17,0.3,web,npm --prefix web run test:playback,-,-,not run,-,-,en attente D0,plan phase 0,suite uses 8397; D0 asks whether to keep it
M-01,0.4,osd,connect,550x350,fr,scrub target height,24,px,verifie,before/osd-native-viewport/measure-osd.json,only target below the 44px floor
M-02,0.4,osd,playing,1280x720,fr,scrub target height,24,px,verifie,before/osd-native-viewport/measure-osd.json,design system 6b says 24px
M-03,0.4,web,films,1280x800,fr,scrub target height,48,px,verifie,before/web-measure/measure-web.json,.scrub height 3rem in the web player
M-04,0.4,osd,library,1280x720,fr,card art ratio,1.77,ratio,verifie,before/probe2/probe2-osd-1280x720.json,221.14x125.27; 16/9 is 1.7778
